"IB8A";"QW1A";"LU13TRUU";"LU35TRUU";"LU57TRUU";"LU71TRUU";"LU10TRUU";"LU3ATRUU";"LU2ATRUU";"LU1ATRUU";"LUBATRUU";"LUATTRUU";"LUACTRUU"
137.15;136.9472;186.93;203.77;211.59;226.62;260.18;213.71;232.02;230.01;241.08;1359.66;1489.87
136.89;136.6012;186.88;203.58;211.38;226.38;260.47;213.57;231.94;229.92;241;1359.7;1489.87
137.32;136.8099;186.85;203.67;211.55;226.71;261.12;213.74;232.11;230.19;241.34;1360.54;1491.7
137.39;136.9203;186.95;203.76;211.64;226.77;260.86;213.84;232.18;230.12;241.07;1361.21;1491.06
137.54;137.1321;186.96;203.95;211.96;227.19;262.02;214.17;232.47;230.4;241.47;1363.71;1492.86
137.85;137.5128;187.17;204.49;212.5;227.97;262.75;214.84;232.95;230.69;241.23;1368.6;1492.85
137.97;137.6351;187.37;204.82;212.93;228.6;263.66;215.29;233.49;231.23;241.74;1371.59;1496.16
137.94;137.887;187.43;204.88;212.92;228.53;263.59;215.3;233.55;231.21;241.64;1372.04;1495.87
137.95;137.7802;187.42;204.82;212.81;228.31;263.22;215.16;233.42;231.11;241.57;1371.13;1495.28
138.15;137.791;187.57;205.09;213.19;228.71;263.65;215.46;233.79;231.57;241.91;1373.1;1497.96
138.58;138.104;187.53;204.94;212.99;228.37;262.66;215.2;233.4;231.2;241.59;1370.7;1495.59
138.33;137.8063;187.41;204.72;212.73;228.1;262.74;215.01;233.28;231.1;241.3;1369.9;1494.3
138.2;138.0634;187.52;204.89;212.9;228.49;263.73;215.33;233.73;231.59;241.25;1372.95;1495.81
138.37;138.1967;187.68;205.41;213.64;229.62;266.05;216.08;234.61;232.68;242.48;1378.59;1502.88
138.37;138.3505;187.8;205.48;213.72;229.67;265.29;216.15;234.57;232.55;241.95;1378.22;1500.87
138.09;138.2347;187.98;205.79;213.91;229.82;264.53;216.33;234.77;232.61;241.41;1379.36;1499.82
137.89;138.5054;188.14;206.17;214.26;230.58;266.5;217.02;235.54;233.18;241.14;1385.55;1501.27
138.01;138.7801;188.22;206.33;214.45;230.83;267.47;217.24;235.89;233.6;241.55;1387.79;1503.81
138.32;138.9954;188.39;206.69;214.96;231.59;269.11;217.75;236.49;234.34;242.64;1391.33;1509.09
138.57;138.9106;188.39;206.69;214.97;231.58;268.87;217.68;236.35;234.21;243.2;1390.53;1510.2
138.78;138.8575;188.08;206.15;214.37;230.66;267.15;216.96;235.42;233.26;242.65;1384.64;1505.15
138.86;138.884;188.17;206.33;214.66;231.17;268.77;217.29;235.92;233.94;243.58;1387.74;1510.15
138.99;139.0899;188.16;206.27;214.62;231.22;269.45;217.32;236.07;234.15;243.68;1388.64;1511.17
138.9;139.1203;188.12;206.21;214.56;231.12;269.02;217.26;235.96;234.01;243.31;1387.92;1509.7
139.16;139.401;188.21;206.39;214.79;231.43;269.54;217.47;236.26;234.32;243.67;1389.88;1511.84
139.33;139.4756;188.41;206.8;215.28;232.12;270.95;217.98;237;235.14;244.37;1394.4;1516.88
139.4;139.5508;188.27;206.56;214.92;231.78;270.26;217.76;236.58;234.54;243.5;1392.66;1512.21
139.4;139.5495;188.36;206.68;215.06;231.92;270.36;217.88;236.73;234.64;243.61;1393.35;1512.85
139.61;139.7891;188.26;206.58;214.95;231.82;270.31;217.81;236.59;234.47;243.41;1392.6;1511.45
139.34;139.4318;188.45;206.91;215.36;232.2;269.82;218.02;236.74;234.64;244.05;1393.23;1513.88
139.63;139.5983;188.66;207.23;215.68;232.63;269.97;218.36;237.19;235.08;243.93;1395.55;1515.1
138.66;139.2594;188.18;206.4;214.68;231.47;267.94;217.48;235.99;233.86;242.08;1388.25;1505.39
138.92;139.5572;188.13;206.25;214.57;231.37;268.48;217.38;236;233.89;242.51;1388.03;1506.72
139.39;140.0202;188.33;206.6;215;231.9;269.71;217.81;236.7;234.59;243.12;1392.17;1511.04
139.51;140.3212;188.36;206.63;215;231.91;270.3;217.89;236.9;234.7;243.07;1393.67;1511.29
139.43;140.2455;188.45;206.84;215.26;232.23;270.87;218.14;237.2;234.98;243.36;1395.34;1513.12
139.53;140.4505;188.6;207.07;215.44;232.57;271.46;218.5;237.55;235.01;243.04;1398.76;1512.28
139.39;140.4165;188.66;207.1;215.52;232.61;271.39;218.54;237.6;235.07;243.07;1399.08;1512.51
139.36;140.4641;188.7;207.11;215.55;232.65;271.68;218.59;237.76;235.24;243.05;1399.87;1513.02
139.57;140.6563;188.79;207.39;215.95;233.27;273.01;218.98;238.27;235.88;243.81;1403.11;1517.34
139.63;140.5286;188.62;207.12;215.68;232.97;272.71;218.7;237.84;235.55;243.88;1400.38;1516.22
139.54;140.2706;188.52;206.97;215.56;232.8;272.81;218.57;237.68;235.42;243.92;1399.44;1515.75
